Life expectancy ,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Diphtheria , HIV/AIDS,GDP,Population,Schooling
65,0.01,71.27962362,65,1154,19.1,83,6,65,0.1,584.25921,33736494,10.1
59.9,0.01,73.52358168,62,492,18.6,86,58,62,0.1,612.696514,327582,10
59.9,0.01,73.21924272,64,430,18.1,89,62,64,0.1,631.744976,31731688,9.9
59.5,0.01,78.1842153,67,2787,17.6,93,67,67,0.1,669.959,3696958,9.8
59.2,0.01,7.097108703,68,3013,17.2,97,68,68,0.1,63.537231,2978599,9.5
58.8,0.01,79.67936736,66,1989,16.7,102,66,66,0.1,553.32894,2883167,9.2
58.6,0.01,56.76221682,63,2861,16.2,106,63,63,0.1,445.8932979,284331,8.9
58.1,0.03,25.87392536,64,1599,15.7,110,64,64,0.1,373.3611163,2729431,8.7
57.5,0.02,10.91015598,63,1141,15.2,113,63,63,0.1,369.835796,26616792,8.4
57.3,0.03,17.17151751,64,1990,14.7,116,58,58,0.1,272.56377,2589345,8.1
57.3,0.02,1.388647732,66,1296,14.2,118,58,58,0.1,25.2941299,257798,7.9
57,0.02,15.29606643,67,466,13.8,120,5,5,0.1,219.1413528,24118979,6.8
56.7,0.01,11.08905273,65,798,13.4,122,41,41,0.1,198.7285436,2364851,6.5
56.2,0.01,16.88735091,64,2486,13,122,36,36,0.1,187.84595,21979923,6.2
55.3,0.01,10.5747282,63,8762,12.6,122,35,33,0.1,117.49698,2966463,5.9
54.8,0.01,10.42496,62,6532,12.2,122,24,24,0.1,114.56,293756,5.5
77.8,4.6,364.9752287,99,0,58,0,99,99,0.1,3954.22783,28873,14.2
77.5,4.51,428.7490668,98,0,57.2,1,98,98,0.1,4575.763787,288914,14.2
77.2,4.76,430.8769785,99,0,56.5,1,99,99,0.1,4414.72314,289592,14.2
76.9,5.14,412.4433563,99,9,55.8,1,99,99,0.1,4247.61438,2941,14.2
76.6,5.37,437.0621,99,28,55.1,1,99,99,0.1,4437.17868,295195,13.3
76.2,5.28,41.82275719,99,10,54.3,1,99,99,0.1,494.358832,291321,12.5
76.1,5.79,348.0559517,98,0,53.5,1,98,98,0.1,4114.136545,2927519,12.2
75.3,5.61,36.62206845,99,0,52.6,1,99,99,0.1,437.539647,2947314,12
75.9,5.58,32.24655228,98,22,51.7,1,99,98,0.1,363.13685,29717,11.6
74.2,5.31,3.3021542,98,68,5.8,1,97,97,0.1,35.1293,2992547,11.4
73.5,5.16,26.99312143,98,6,49.9,1,97,98,0.1,279.142931,311487,10.8
73,4.54,221.8428,99,7,48.9,1,98,97,0.1,2416.588235,326939,10.9
72.8,4.29,14.71928882,97,8,47.9,1,97,97,0.1,189.681557,339616,10.7
73.3,3.73,104.5169157,96,16,46.9,1,98,98,0.1,1453.642777,3511,10.7
73.6,4.25,96.20557078,96,18,46,1,97,97,0.1,1326.97339,36173,10.6
72.6,3.66,91.71154052,96,662,45,1,97,97,0.1,1175.788981,38927,10.7
75.6,,0,95,63,59.5,24,95,95,0.1,4132.76292,39871528,14.4
75.4,0.01,54.2373183,95,0,58.4,24,95,95,0.1,547.8517,39113313,14.4
75.3,0.53,544.4507432,95,25,57.2,24,95,95,0.1,5471.866766,38338562,14.4
75.1,0.66,555.9260834,95,18,56.1,24,95,95,0.1,5564.82566,37565847,14.4
74.9,0.56,509.0020405,95,112,55,24,95,95,0.1,5432.2523,36819558,14
74.7,0.45,430.7175861,95,103,53.9,24,95,95,0.1,4463.394675,36117637,13.6
74.4,0.5,352.0636419,94,107,52.8,23,94,95,0.1,3868.83123,3546576,13.1
