No.,Time you went to be Yesterday,
1,22:30,
2,23:05,
3,22:00,
4,23:00,
5,22:00,
6,23:20,
7,0:35,
8,0:35,
9,23:30,
10,23:00,
11,23:00,
12,1:00,
13,22:00,
14,23:30,
15,23:30,
16,1:30,
17,11:30,
18,0:00,
19,2:00,
20,1:15,
21,0:41,
22,23:30,
23,0:00,
24,23:30,
25,23:00,
26,1:26,
27,23:00,
28,23:30,
29,23:00,
30,23:00,
31,?,
32,23:00,
33,0:00,
34,?,
35,0:20,
36,23:00,
37,1:00,
38,1:00,
39,23:00,
40,1:00,
41,23:04,
42,2:00,
43,2:00,
44,3:00,
45,0:00,
46,0:30,
47,23:45,
48,23:30,
49,23:00,
50,23:30,
51,0:00,
52,0:00,
53,2:30,
54,0:35,
55,0:15,
56,2:10,
57,23:59,
58,23:00,
59,11:30,
60,6:00,
61,0:00,
62,0:45,
63,0:30,
64,23:30,
65,4:00,
66,?,
67,23:45,
68,0:30,
69,2:00,
70,1:00,
71,22:30,
72,2:30,
73,1:30,
74,1:00,
75,23:00,
76,22:30,
77,2:00,
78,23:30,
79,2:00,
80,?,
81,23:30,
82,1:00,
83,4:05,
84,23:00,
85,0:50,
86,0:00,
87,22:00,
88,0:30,
89,1:00,
90,0:30,
91,2:00,
92,22:30,
93,2:00,
94,?,
95,0:23,
96,2:00,
97,1:00,
98,1:30,
99,1:00,
100,0:30,
101,1:00,
102,0:00,
103,15:00,
104,22:00,
105,22:00,
106,3:00,
107,23:59,
108,23:30,
109,1:00,
110,0:00,
111,0:30,
112,23:00,
113,23:30,
114,23:50,
115,0:00,
116,23:00,
117,22:00,
118,1:00,
119,24:00:00,
120,22:00,
121,23:45,
122,1:00,
123,1:30,
124,0:20,
125,23:30,
126,0:45,
127,23:00,
128,23:00,
129,22:30,
130,16:14,
131,23:30,
132,23:45,
133,23:30,
134,1:30,
135,0:00,
136,0:40,
137,23:30,
138,23:30,
139,23:30,
140,1:20,
141,23:30,
142,23:30,
143,1:00,
144,23:00,
145,2:00,
146,1:00,
147,22:30,
148,0:30,
149,22:00,
150,23:30,
151,0:00,
152,0:30,
153,23:00,
154,0:00,
155,0:00,
156,6:00,
157,22:31,
158,23:00,
159,0:01,
160,5:00,
161,23:30,
162,1:30,
163,1:00,
164,?,
165,23:30,
166,0:00,
167,22:30,
168,23:00,
169,23:30,
170,17:00,
171,23:00,
172,1:03,
173,22:30,
174,23:45,
175,1:15,
176,2:30,
177,22:30,
178,23:00,
179,0:00,
180,0:00,
181,0:30,
182,3:30,
183,1:30,
184,1:30,
185,23:00,
186,3:00,
187,1:30,
188,0:00,
189,23:00,
190,1:00,
191,2:30,
192,0:00,
193,23:00,
194,1:00,
195,0:00,
196,1:00,
197,3:00,
198,2:45,
199,0:20,
200,1:00,
201,3:00,
202,2:00,
203,2:30,
204,22:00,
205,12:02,
206,2:00,
207,3:00,
208,4:00,
209,1:00,
210,2:00,
211,7:00,
212,1:00,
213,23:20,
214,23:52,
215,23:00,
216,23:00,
217,0:45,
218,1:00,
219,11:15,
220,0:00,
221,2:00,
222,23:45,
223,6:00,
224,?,
225,1:00,
226,0:00,
227,0:15,
228,1:00,
229,0:30,
230,22:00,
231,23:30,
232,11:50,
233,1:30,
234,0:00,
235,22:00,
236,20:00,
237,13:00,
238,0:45,
239,2:15,
240,3:00,
241,21:11,
242,16:00,
243,23:30,
244,3:00,
245,23:42,
246,23:00,
247,0:00,
248,3:00,
249,1:30,
250,22:00,
251,2:00,
252,0:00,
253,0:30,
254,20:00,
255,23:00,
256,23:15,
257,19:00,
258,0:30,
259,?,
260,0:30,
261,0:00,
262,?,
263,23:00,
264,23:45,
265,23:00,
266,0:00,
267,0:00,
268,4:00,
269,0:00,
270,3:00,
271,13:00,
272,23:00,
273,1:30,
274,2:00,
275,?,
276,1:00,
277,21:45,
278,13:37,
279,0:00,
280,20:00,
