Gender,Year of Birth,Bed Time,
female,1998,22:30,
male,1996,23:05,
female,1995,22:00,
female,1994,23:00,
male,1993,22:00,
male,1995,23:20,
female,1996,0:35,
male,1992,0:35,
female,1998,23:30,
male,1995,23:00,
female,1995,23:00,
male,1995,1:00,
male,1998,22:00,
male,1996,23:30,
male,1996,23:30,
male,1994,1:30,
unknown,1992,11:30,
male,1995,0:00,
male,1997,2:00,
male,1996,1:15,
female,1997,0:41,
female,1995,23:30,
male,1996,0:00,
male,1996,23:30,
male,1993,23:00,
female,1995,1:26,
female,1995,23:00,
female,1997,23:30,
male,1997,23:00,
male,1997,23:00,
female,1997,23:00,
male,1997,23:00,
female,1997,0:00,
female,1996,23:00,
female,1997,0:20,
male,1996,23:00,
male,1990,1:00,
male,1992,1:00,
female,1997,23:00,
male,1995,1:00,
female,1997,23:04,
male,1995,2:00,
male,1998,2:00,
female,1995,3:00,
female,1996,0:00,
female,1995,0:30,
female,1996,23:45,
female,1996,23:30,
female,1995,23:00,
female,1997,23:30,
female,1995,0:00,
female,1996,0:00,
female,1999,2:30,
male,1992,0:35,
female,1998,0:15,
female,1993,2:10,
female,1997,23:59,
female,1997,23:00,
male,1993,11:30,
male,1997,6:00,
male,1996,0:00,
male,1996,0:45,
male,1993,0:30,
male,1995,23:30,
male,1991,4:00,
male,1995,23:00,
female,1994,23:45,
male,1992,0:30,
unknown,1990,2:00,
male,1996,1:00,
male,1994,22:30,
male,1992,2:30,
female,1989,1:30,
male,1997,1:00,
male,1995,23:00,
female,1997,22:30,
male,1998,2:00,
female,1998,23:30,
male,1995,2:00,
male,1995,23:00,
male,1995,23:30,
female,1998,1:00,
male,1996,4:05,
male,1996,23:00,
male,1995,0:50,
male,1996,0:00,
female,1995,22:00,
male,1995,0:30,
male,1996,1:00,
female,1998,0:30,
male,1994,2:00,
male,1997,22:30,
female,1995,2:00,
male,1995,23:00,
female,1997,0:23,
female,1995,2:00,
male,1996,1:00,
male,1994,1:30,
male,1995,1:00,
female,1998,0:30,
male,1995,1:00,
female,1995,0:00,
male,1995,15:00,
male,1995,22:00,
male,1996,22:00,
male,1993,3:00,
male,1996,23:59,
male,1995,23:30,
