,StressLvl
0,low
1,high
2,med
3,low
4,med-high
5,low
6,med-high
7,low
8,low
9,med-low
10,med-high
11,low
12,med-low
13,med-low
14,low
15,med-low
16,med-low
17,low
18,high
19,med-high
20,med-low
21,med-high
22,med-high
23,low
24,med-high
25,med-low
26,low
27,high
28,high
29,med-low
30,high
31,med-low
32,med-high
33,med-high
34,med-low
35,med-high
36,high
37,low
38,med-low
39,med-low
40,med-low
41,med-low
42,med
43,med-high
44,med-low
45,med
46,med-low
47,low
48,low
49,med
50,med-high
51,low
52,low
53,low
54,med
55,med-high
56,med-low
57,med
58,med-high
59,low
60,high
61,low
62,high
63,low
64,high
65,low
66,med-low
67,med-low
68,high
69,med-high
70,low
71,med-high
72,med-high
73,med
74,med-high
75,low
76,low
77,med-low
78,med-low
79,med-high
80,med-low
81,low
82,med-high
83,med
84,low
85,low
86,med-high
87,high
88,med-high
89,med
90,med-high
91,med
92,high
93,low
94,high
95,med
96,high
97,low
98,low
99,med
100,high
101,med
102,low
103,low
104,med-low
105,med-low
106,med-low
107,low
108,med-low
109,high
110,med
111,med-high
112,med-low
113,low
114,med
115,med-low
116,med-low
117,high
118,med-low
119,med-high
120,low
121,med-high
122,low
123,med-low
124,low
125,low
126,med
127,low
128,med-low
129,low
130,low
131,low
132,med-high
133,med
134,med-high
135,med-low
136,med-low
137,med-low
138,med-low
139,med-low
140,med-high
141,low
142,med-high
143,med
144,low
145,med
146,med-low
147,med
148,med-high
149,med-low
150,med-high
151,med-high
152,med-low
153,med-high
154,med-low
155,high
156,med-high
157,high
158,med-low
159,med-low
160,med-high
161,med-low
162,low
163,low
164,high
165,med-low
166,high
167,low
168,med-low
169,med
170,med
171,med-high
172,med-low
173,low
174,med-high
175,med-high
176,med
177,med-low
178,med-low
179,med-high
180,med-low
181,med
182,med-low
183,med-low
184,med
185,med-low
186,med
187,med-low
188,med-low
189,med-high
190,high
191,med-low
192,med
193,med-low
194,low
195,med-high
196,low
197,med-high
198,low
199,low
200,med
201,med-high
202,med-high
203,med-low
204,med-high
205,med-low
206,high
207,med-high
208,med
209,med-high
210,med
211,med
212,med
213,high
214,med-high
215,med-high
216,med
217,low
218,low
219,med-high
220,low
221,low
222,med
223,low
224,med
225,med-low
226,med-low
227,med
228,med-high
229,med-high
230,med-high
231,med-high
232,med-high
233,med-low
234,med-high
235,high
236,med
237,low
238,med
239,med
240,med
241,med
242,med
243,med-low
244,med
245,med-high
246,high
247,med
248,med-high
249,med
250,low
251,med
252,low
253,med-high
254,med-low
255,med-low
256,med-high
257,med-low
258,med-high
259,low
260,med-low
261,med-high
262,high
263,med-high
264,low
265,high
266,med-high
267,low
268,med
269,high
270,med-high
271,med-low
272,low
273,med-low
274,high
275,med-high
276,low
277,med-high
278,med-high
279,med-low
