,StressLvl
0,0
1,85
2,50
3,10
4,60
5,0
6,71
7,10
8,0
9,22
10,70
11,0
12,20
13,20
14,15
15,30
16,30
17,17
18,80
19,65
20,25
21,70
22,70
23,5
24,60
25,35
26,10
27,80
28,90
29,30
30,88
31,30
32,60
33,60
34,20
35,60
36,99
37,10
38,20
39,20
40,30
41,20
42,50
43,60
44,30
45,40
46,25
47,0
48,10
49,40
50,65
51,0
52,15
53,10
54,50
55,60
56,30
57,50
58,60
59,5
60,96
61,5
62,90
63,10
64,90
65,0
66,30
67,20
68,99
69,78
70,10
71,70
72,60
73,50
74,60
75,5
76,10
77,32
78,20
79,78
80,20
81,10
82,78
83,45
84,10
85,0
86,60
87,83
88,70
89,50
90,70
91,43
92,85
93,10
94,89
95,40
96,100
97,17
98,0
99,40
100,100
101,50
102,0
103,12
104,30
105,25
106,30
107,0
108,20
109,80
110,50
111,65
112,30
113,10
114,50
115,20
116,25
117,90
118,30
119,60
120,10
121,60
122,5
123,30
124,15
125,1
126,40
127,0
128,25
129,10
130,0
131,12
132,70
133,50
134,75
135,30
136,20
137,30
138,30
139,20
140,60
141,5
142,60
143,50
144,5
145,50
146,20
147,55
148,60
149,20
150,68
151,75
152,30
153,60
154,30
155,80
156,60
157,85
158,30
159,23
160,67
161,25
162,5
163,0
164,80
165,20
166,81
167,0
168,35
169,43
170,50
171,73
172,30
173,15
174,70
175,60
176,45
177,33
178,20
179,60
180,32
181,40
182,30
183,20
184,50
185,30
186,50
187,35
188,20
189,69
190,80
191,37
192,40
193,30
194,5
195,60
196,10
197,67
198,0
199,14
200,50
201,75
202,65
203,30
204,76
205,35
206,95
207,65
208,40
209,70
210,50
211,40
212,47
213,86
214,61
215,61
216,40
217,15
218,10
219,70
220,10
221,15
222,54
223,0
224,50
225,25
226,30
227,50
228,75
229,60
230,75
231,60
232,70
233,20
234,70
235,80
236,40
237,10
238,50
239,50
240,50
241,40
242,40
243,30
244,40
245,60
246,100
247,50
248,70
249,40
250,0
251,40
252,0
253,75
254,25
255,20
256,75
257,35
258,69
259,1
260,20
261,70
262,86
263,72
264,10
265,100
266,60
267,10
268,unknown
269,80
270,60
271,30
272,10
273,30
274,90
275,69
276,10
277,60
278,70
279,30
