PassengerId,Survived,Pclass,Sex,Age,AgeGroup,Deck,Number,Side,Embarked
0,0,3,0,22.0,1,-1,-1,-1,3
1,1,1,1,38.0,3,2,85,1,1
2,1,3,1,26.0,2,-1,-1,-1,3
3,1,1,1,35.0,3,2,123,1,3
4,0,3,0,35.0,3,-1,-1,-1,3
5,0,3,0,-1.0,-1,-1,-1,-1,2
6,0,1,0,54.0,3,4,46,2,3
7,0,3,0,2.0,0,-1,-1,-1,3
8,1,3,1,27.0,2,-1,-1,-1,3
9,1,2,1,14.0,1,-1,-1,-1,1
10,1,3,1,4.0,0,6,6,2,3
11,1,1,1,58.0,3,2,103,1,3
12,0,3,0,20.0,1,-1,-1,-1,3
13,0,3,0,39.0,3,-1,-1,-1,3
14,0,3,1,14.0,1,-1,-1,-1,3
15,1,2,1,55.0,3,-1,-1,-1,3
16,0,3,0,2.0,0,-1,-1,-1,2
17,1,2,0,-1.0,-1,-1,-1,-1,3
18,0,3,1,31.0,2,-1,-1,-1,3
19,1,3,1,-1.0,-1,-1,-1,-1,1
20,0,2,0,35.0,3,-1,-1,-1,3
21,1,2,0,34.0,2,3,56,2,3
22,1,3,1,15.0,1,-1,-1,-1,2
23,1,1,0,28.0,2,0,6,2,3
24,0,3,1,8.0,0,-1,-1,-1,3
25,1,3,1,38.0,3,-1,-1,-1,3
26,0,3,0,-1.0,-1,-1,-1,-1,1
27,0,1,0,19.0,1,"[2, 2, 2]","[23, 25, 27]","[1, 1, 1]",3
28,1,3,1,-1.0,-1,-1,-1,-1,2
29,0,3,0,-1.0,-1,-1,-1,-1,3
30,0,1,0,40.0,3,-1,-1,-1,1
31,1,1,1,-1.0,-1,1,78,2,1
32,1,3,1,-1.0,-1,-1,-1,-1,2
33,0,2,0,66.0,4,-1,-1,-1,3
34,0,1,0,28.0,2,-1,-1,-1,1
35,0,1,0,42.0,3,-1,-1,-1,3
36,1,3,0,-1.0,-1,-1,-1,-1,1
37,0,3,0,21.0,1,-1,-1,-1,3
38,0,3,1,18.0,1,-1,-1,-1,3
39,1,3,1,14.0,1,-1,-1,-1,1
40,0,3,1,40.0,3,-1,-1,-1,3
41,0,2,1,27.0,2,-1,-1,-1,3
42,0,3,0,-1.0,-1,-1,-1,-1,1
43,1,2,1,3.0,0,-1,-1,-1,1
44,1,3,1,19.0,1,-1,-1,-1,2
45,0,3,0,-1.0,-1,-1,-1,-1,3
46,0,3,0,-1.0,-1,-1,-1,-1,2
47,1,3,1,-1.0,-1,-1,-1,-1,2
48,0,3,0,-1.0,-1,-1,-1,-1,1
49,0,3,1,18.0,1,-1,-1,-1,3
50,0,3,0,7.0,0,-1,-1,-1,3
51,0,3,0,21.0,1,-1,-1,-1,3
52,1,1,1,49.0,3,3,33,1,1
53,1,2,1,29.0,2,-1,-1,-1,3
54,0,1,0,65.0,4,1,30,2,1
55,1,1,0,-1.0,-1,2,52,2,3
56,1,2,1,21.0,1,-1,-1,-1,3
57,0,3,0,28.5,2,-1,-1,-1,1
58,1,2,1,5.0,0,-1,-1,-1,3
59,0,3,0,11.0,0,-1,-1,-1,3
60,0,3,0,22.0,1,-1,-1,-1,1
61,1,1,1,38.0,3,1,28,2,-1
62,0,1,0,45.0,3,2,83,1,3
